,age,workclass,fnlwgt,education,education_num,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,country,target,biased_pred,adv_pred,lfr_pred,eq_pred,adv_change,lfr_change,eq_change,nch
16201,51,Private,94432,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
22328,54,Private,202115,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,1,0,0.0,1,1,0.0,1,1,2.0
24152,21,Private,163870,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,3908,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
31181,29,Private,82393,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,40,Germany,0,0,0.0,0,0,0.0,0,0,0.0
24623,23,Private,186014,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25240,25,Private,220284,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,0,0,40,Mexico,0,0,0.0,0,0,0.0,0,0,0.0
28563,42,Self-emp-inc,348886,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1,1,1.0,1,1,0.0,0,0,0.0
30996,26,State-gov,130557,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
338,19,Private,104112,HS-grad,9,Never-married,Sales,Unmarried,Black,Male,0,0,30,Haiti,0,0,0.0,0,0,0.0,0,0,0.0
10599,23,Private,107801,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1617,25,United-States,0,0,0.0,0,0,0.0,0,0,0.0
17790,44,,109912,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,0,16,United-States,1,0,1.0,1,1,1.0,1,1,3.0
5431,51,Private,143741,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,1,0,0.0,1,1,0.0,1,1,2.0
4781,39,Self-emp-not-inc,363418,Bachelors,13,Separated,Craft-repair,Own-child,White,Male,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
23850,37,Private,95654,10th,6,Divorced,Exec-managerial,Unmarried,White,Female,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
15543,59,Private,153484,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,50,United-States,1,1,1.0,1,1,0.0,0,0,0.0
32065,45,Private,30289,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
20554,21,Private,307371,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,15,United-States,0,0,0.0,0,0,0.0,0,0,0.0
4666,45,Private,26781,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,8,United-States,0,0,0.0,0,0,0.0,0,0,0.0
6415,49,Federal-gov,311671,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,1,0.0,1,1,-1.0,0,0,1.0
26117,46,Private,63299,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
22621,43,Private,112967,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
24456,54,Self-emp-not-inc,200960,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1,1,0.0,0,1,-1.0,-1,0,2.0
5833,26,Private,128553,Some-college,10,Never-married,Exec-managerial,Own-child,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25281,40,Local-gov,27444,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,1,0,0.0,0,0,0.0,0,0,0.0
2380,23,,148751,Some-college,10,Never-married,,Not-in-family,White,Female,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
6707,51,Local-gov,114508,9th,5,Separated,Other-service,Other-relative,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
6089,34,Private,221396,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
1660,49,Local-gov,107231,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
5056,26,Private,330695,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
10337,54,Private,311020,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
18969,37,Private,335716,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
5239,52,Self-emp-not-inc,102346,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
32240,21,Private,180190,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,46,United-States,0,0,0.0,0,0,0.0,0,0,0.0
8409,51,Private,146767,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,1,0.0,1,1,-1.0,0,0,1.0
24193,32,Private,199416,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,1,0.0,1,0,-1.0,0,-1,2.0
14395,42,Local-gov,201723,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
14837,21,Private,82847,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
1080,43,Private,173728,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
21932,36,Private,292570,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
3932,32,Local-gov,127651,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0,0.0,0,0,0.0,0,0,0.0
2799,36,Private,209609,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,0,1,0.0,1,1,-1.0,0,0,1.0
8440,20,Private,33551,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
2343,21,Private,191460,11th,7,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25519,17,,89870,10th,6,Never-married,,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
15502,20,State-gov,30796,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,0,0,0.0,0,0,0.0,0,0,0.0
2435,44,Local-gov,210527,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
4509,20,Self-emp-inc,182200,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0,0.0
9759,47,Private,114754,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
31077,46,Self-emp-not-inc,119944,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1,1,1.0,1,1,0.0,0,0,0.0
29034,29,Private,356133,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
32526,32,Private,211349,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
4259,32,Private,261059,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
14012,28,Private,338376,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,1,0,0.0,0,0,0.0,0,0,0.0
17428,24,Private,234640,HS-grad,9,Married-spouse-absent,Sales,Own-child,White,Female,0,0,36,United-States,0,0,0.0,0,0,0.0,0,0,0.0
31301,36,Private,261241,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,1,0,0.0,0,0,0.0,0,0,0.0
8967,38,Local-gov,421446,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States,1,1,0.0,1,0,-1.0,0,-1,2.0
27989,36,Local-gov,282602,Assoc-voc,11,Separated,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
26539,59,State-gov,159472,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
6098,58,Private,117477,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,36,United-States,0,0,0.0,0,0,0.0,0,0,0.0
30897,18,,267399,12th,8,Never-married,,Own-child,White,Female,0,0,12,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16471,59,Private,205759,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0,1,1.0,1,1,0.0,0,0,0.0
11896,38,Local-gov,252250,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,United-States,1,0,0.0,0,0,0.0,0,0,0.0
21223,46,Self-emp-not-inc,176319,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,7298,0,40,United-States,1,1,1.0,0,1,0.0,-1,0,1.0
21423,26,Private,291968,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
177,34,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
20564,30,State-gov,270218,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
3861,51,Local-gov,175750,HS-grad,9,Divorced,Transport-moving,Unmarried,Black,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
18560,80,,172826,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,8,United-States,0,0,0.0,0,0,0.0,0,0,0.0
11452,23,Private,188409,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,4508,0,25,United-States,0,0,0.0,0,0,0.0,0,0,0.0
10129,37,Private,167851,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
26624,45,Private,48271,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1,0,1.0,1,1,1.0,1,1,3.0
13968,22,Private,72310,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,0,0,0.0,0,0,0.0,0,0,0.0
31458,24,Private,314182,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
11851,25,,34161,12th,8,Separated,,Unmarried,White,Female,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0,0.0
30366,21,Private,238068,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
29238,41,Private,187802,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
14007,29,Private,31360,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
24913,19,,199495,Some-college,10,Never-married,,Own-child,White,Male,0,0,60,United-States,0,0,0.0,0,0,0.0,0,0,0.0
6670,19,Private,27433,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
30803,47,Private,187563,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
2886,39,Private,188391,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,50,United-States,1,1,1.0,0,1,0.0,-1,0,1.0
15983,26,Private,181666,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,0,0,0.0,1,1,0.0,1,1,2.0
29727,58,Self-emp-not-inc,234841,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25562,45,Private,72844,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,46,United-States,0,0,0.0,0,0,0.0,0,0,0.0
12277,24,Private,99970,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16968,46,Private,149949,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
27383,32,Self-emp-not-inc,261056,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Female,2174,0,60,,0,0,0.0,0,0,0.0,0,0,0.0
10645,20,Private,347530,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,25,United-States,0,0,0.0,0,0,0.0,0,0,0.0
10581,24,,203076,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16754,26,Local-gov,80485,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,0,0,0.0,0,0,0.0,0,0,0.0
3692,46,Private,271828,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0,0.0,0,0,0.0,0,0,0.0
11527,52,Private,226084,HS-grad,9,Widowed,Priv-house-serv,Other-relative,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
8175,28,Private,249571,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
9550,40,Self-emp-not-inc,162312,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,66,South,0,0,0.0,0,0,0.0,0,0,0.0
24241,20,,210474,Some-college,10,Never-married,,Own-child,White,Female,0,0,15,United-States,0,0,0.0,0,0,0.0,0,0,0.0
1817,48,Private,199739,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
1870,40,Private,173607,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
26761,18,Private,188076,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0,0,0.0,0,0,0.0,0,0,0.0
5795,35,Private,348690,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
12297,28,Private,253814,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
22378,44,,190205,7th-8th,4,Married-civ-spouse,,Husband,White,Male,0,0,25,United-States,0,0,0.0,0,0,0.0,0,0,0.0
26885,34,Private,218164,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,44,United-States,0,0,0.0,0,0,0.0,0,0,0.0
29570,38,Private,27408,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
27092,37,Private,138192,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0,0.0
27004,32,State-gov,169973,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,0,0,0.0,0,0,0.0,0,0,0.0
21025,19,Private,530454,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
13,32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
4193,21,Private,370990,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
694,23,State-gov,335453,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,0,0,0.0,0,0,0.0,0,0,0.0
10060,52,Private,204402,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,85,United-States,1,0,0.0,0,0,0.0,0,0,0.0
19525,47,Private,178341,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,46,United-States,1,0,0.0,0,0,0.0,0,0,0.0
6558,21,,170038,Some-college,10,Never-married,,Own-child,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
7959,49,Private,165152,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,1,0,0.0,0,0,0.0,0,0,0.0
9628,21,Private,314182,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
11109,17,Private,174298,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0,0,0.0,0,0,0.0,0,0,0.0
5691,59,Private,380357,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,1,0,0.0,1,0,1.0
12601,48,Private,248059,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,45,United-States,0,1,1.0,1,1,0.0,0,0,0.0
3035,61,Private,208919,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1,1,1.0,1,1,0.0,0,0,0.0
1,50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,0,1,0.0,0,0,-1.0,-1,-1,3.0
4427,27,Private,51025,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
24903,61,Private,191417,9th,5,Widowed,Exec-managerial,Not-in-family,Black,Male,0,0,65,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25464,24,Private,165064,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
15386,45,Private,220641,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
20715,33,Private,204829,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0,0.0
12618,44,Private,162184,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
26311,35,State-gov,154410,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
2363,28,Private,42734,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
29134,47,Private,278900,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16601,40,Local-gov,166893,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,1,1,1.0,0,1,0.0,-1,0,1.0
1602,22,State-gov,178818,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,0,0,0.0,0,0,0.0,0,0,0.0
15568,31,Private,115488,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
6720,48,Self-emp-not-inc,30840,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013,0,45,United-States,0,1,0.0,0,1,-1.0,-1,0,2.0
22164,59,Private,182460,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,1,1,0.0,0,0,-1.0,-1,-1,3.0
1124,48,Private,95244,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
17804,44,Private,325461,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States,1,1,1.0,1,1,0.0,0,0,0.0
31257,29,Private,236992,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
1259,37,State-gov,136137,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
19023,52,Private,279129,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,37,United-States,1,0,0.0,0,0,0.0,0,0,0.0
32007,52,Private,208630,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1741,38,United-States,0,0,0.0,0,0,0.0,0,0,0.0
2923,42,Self-emp-not-inc,27821,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0,1,0.0,0,1,-1.0,-1,0,2.0
8376,24,Private,270517,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,Mexico,0,0,0.0,0,0,0.0,0,0,0.0
19244,46,Private,192793,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
29345,32,Private,53135,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16763,55,Private,106740,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,1,0.0,0,0,-1.0,-1,-1,3.0
12676,23,Private,169104,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,25,United-States,0,0,0.0,0,0,0.0,0,0,0.0
14273,40,State-gov,182460,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,38,China,1,0,0.0,1,1,0.0,1,1,2.0
28654,31,Private,63437,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,Ireland,0,0,0.0,0,0,0.0,0,0,0.0
16345,68,Private,186350,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,10,United-States,1,0,0.0,0,0,0.0,0,0,0.0
25139,50,Private,185407,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,United-States,1,1,0.0,0,1,-1.0,-1,0,2.0
10668,44,State-gov,150755,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,5013,0,40,United-States,0,1,1.0,0,1,0.0,-1,0,1.0
30837,40,Private,192259,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16060,55,Local-gov,135439,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,48,United-States,0,0,0.0,1,0,0.0,1,0,1.0
18358,72,,194548,Some-college,10,Married-spouse-absent,,Not-in-family,White,Male,0,0,3,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25676,53,Private,147476,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
21793,30,Private,104052,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1741,42,United-States,0,0,0.0,0,0,0.0,0,0,0.0
12674,51,Local-gov,142411,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
2361,26,Private,256000,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,1,1,1.0,1,1,0.0,0,0,0.0
398,25,Private,86872,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,1,0,0.0,1,0,0.0,1,0,1.0
10652,43,Local-gov,37937,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,43,United-States,0,1,0.0,0,1,-1.0,-1,0,2.0
19386,58,Self-emp-not-inc,130714,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0,1,1.0,1,1,0.0,0,0,0.0
20503,35,Private,38245,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0,0,0.0,0,0,0.0,0,0,0.0
24491,48,Private,47686,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0,0,0.0,1,1,0.0,1,1,2.0
15309,67,,92061,HS-grad,9,Widowed,,Other-relative,White,Female,0,0,8,United-States,0,0,0.0,0,0,0.0,0,0,0.0
5318,39,Local-gov,45607,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,United-States,0,1,0.0,0,0,-1.0,-1,-1,3.0
10503,43,Self-emp-not-inc,187322,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0,0.0
5295,30,Private,137606,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5013,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
13136,41,Local-gov,173051,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25517,27,Private,204098,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0,0.0
28314,45,Self-emp-not-inc,220978,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0,0.0
579,26,Self-emp-not-inc,86646,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0,0.0
11966,55,Private,83401,5th-6th,3,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
25760,48,State-gov,120131,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,8614,0,40,United-States,1,0,0.0,0,0,0.0,0,0,0.0
143,45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,1,0,0.0,0,0,0.0,0,0,0.0
20099,21,,314645,Some-college,10,Never-married,,Not-in-family,White,Female,0,0,43,United-States,0,0,0.0,0,0,0.0,0,0,0.0
27628,44,Private,419134,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16801,56,Private,111218,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,0,0,0.0,0,0,0.0,0,0,0.0
6813,22,Private,234731,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
