,sex,age,race,priors_count,score_factor,felony
1383,1,27,1,1,0,0
1384,1,31,1,7,1,0
1387,1,26,0,3,1,1
1388,1,20,0,0,1,1
1389,1,55,1,2,1,0
1390,1,36,0,0,0,1
1393,1,23,0,1,0,0
1394,1,34,0,19,0,1
1395,0,59,1,1,1,1
1396,1,37,1,0,1,1
1397,0,28,1,0,1,1
1399,1,31,0,0,1,1
1400,0,38,0,14,0,1
1401,1,33,0,0,1,1
1402,1,27,0,3,0,1
1403,1,25,1,2,1,0
1404,0,42,0,2,1,1
1405,1,22,0,3,0,1
1408,1,45,1,1,0,1
1409,0,21,0,1,1,0
1410,1,52,1,2,1,0
1411,1,29,1,0,1,0
1412,0,37,0,0,1,0
1413,1,34,1,0,1,1
1414,1,53,0,0,1,0
1415,0,30,0,8,0,1
1417,1,28,1,1,1,1
1418,1,21,0,1,0,1
1419,1,22,0,1,0,1
1420,1,42,1,1,1,0
1421,1,26,0,3,1,1
1422,1,54,0,9,1,0
1424,1,30,0,20,0,1
1425,0,26,0,1,0,1
1426,1,41,0,0,1,0
1427,1,23,1,5,0,0
1428,1,43,1,1,1,1
1429,1,22,0,0,1,0
1431,0,27,1,6,1,1
1432,0,42,0,2,1,0
1433,1,25,0,8,0,1
1434,1,49,0,4,1,0
1436,1,52,1,1,1,1
1437,0,60,1,2,1,1
1438,0,23,0,0,0,0
1439,1,30,0,2,0,0
1440,1,48,0,9,0,1
1441,1,32,0,2,0,1
1443,1,24,0,5,0,1
1445,1,22,0,3,0,1
1446,1,44,0,2,1,1
1447,1,32,1,3,1,1
1448,0,27,0,1,1,0
1449,1,52,0,15,1,0
1450,1,61,1,3,1,0
1451,1,69,0,3,1,0
1453,0,21,1,1,0,1
1454,1,31,1,2,0,0
1455,1,19,0,3,1,1
1456,1,24,0,12,0,0
1457,1,24,1,3,0,1
1459,1,30,1,6,0,1
1460,1,43,0,4,1,1
1461,1,24,0,4,0,1
1462,0,30,1,7,0,0
1463,1,25,0,5,0,1
1465,0,56,1,1,0,1
1466,1,21,0,1,0,1
1467,1,31,0,6,0,1
1468,0,23,0,1,0,1
1469,1,30,0,15,0,1
1471,1,64,1,0,1,1
1472,0,21,1,0,0,1
1473,1,36,0,5,1,1
1474,0,50,0,1,1,1
1475,1,23,0,0,1,0
1477,0,25,1,5,0,1
1481,1,54,1,14,1,0
1483,1,25,1,5,0,0
1484,1,63,1,0,1,0
1485,1,35,0,2,0,0
1489,1,25,0,8,0,0
1490,1,33,1,0,1,0
1491,1,29,0,7,1,1
1493,1,37,0,12,0,0
1494,0,20,1,3,0,0
1495,1,32,0,1,1,1
1496,1,72,1,1,1,0
1497,1,38,1,0,1,1
1498,1,40,1,0,1,1
1499,1,23,1,0,1,1
1500,1,21,1,5,0,1
1501,1,27,1,4,0,1
1502,1,55,1,13,0,1
1504,0,41,1,0,1,0
1505,1,56,1,1,1,0
1506,1,55,1,11,0,0
1508,1,28,0,3,1,1
1511,1,53,1,0,1,0
1512,1,27,0,6,0,1
1513,1,22,1,0,0,1
1514,0,22,0,0,1,1
1515,1,33,0,7,0,0
1516,1,34,0,15,0,1
1518,1,32,0,12,0,1
1519,1,47,0,14,0,1
1521,1,25,0,14,0,1
1522,1,56,1,0,1,1
1524,1,28,0,4,0,1
1525,1,20,0,2,0,1
1528,0,29,0,11,0,1
1529,1,72,1,3,1,1
1530,0,24,0,2,0,0
1531,1,45,0,3,0,1
1532,1,30,0,7,0,0
1533,1,45,0,0,1,0
1534,1,47,1,0,1,0
1535,1,24,0,0,1,1
1536,1,20,0,0,1,0
1537,1,51,1,6,1,1
1540,0,49,1,2,1,0
1541,1,41,1,5,1,1
1542,1,49,1,1,1,1
1545,0,28,0,0,1,0
1546,1,33,1,2,1,0
1547,1,46,0,0,0,1
1548,1,21,0,0,1,0
1549,1,26,0,14,0,1
1552,1,58,0,24,0,1
1554,0,20,0,2,0,1
1555,1,28,0,0,1,0
1556,1,21,1,0,0,1
1558,1,34,0,3,1,0
1559,1,32,0,15,0,1
1560,1,38,0,10,1,1
1561,1,22,0,0,1,1
1562,1,42,1,2,0,1
1563,0,57,1,0,1,0
1564,0,56,1,1,1,1
1566,1,30,0,11,0,1
1567,1,29,0,2,1,0
1568,1,46,0,15,0,1
1570,0,24,0,0,1,1
1571,0,70,0,1,1,1
1573,0,45,1,1,1,0
1575,0,39,0,6,0,1
1576,1,25,1,6,1,1
1579,1,46,1,0,1,1
1580,1,28,1,0,1,0
1582,1,27,0,1,1,1
1583,1,43,1,11,0,1
1585,1,30,0,9,0,1
1587,1,29,1,1,1,1
1588,1,54,0,8,1,1
1589,0,20,1,0,1,1
1590,1,29,0,0,1,1
1595,1,24,0,8,0,1
1597,1,45,0,2,0,0
1598,1,31,0,5,0,1
1599,1,23,1,0,1,1
1600,1,21,0,0,0,1
1601,1,61,1,0,1,0
1602,0,51,1,5,0,0
1604,1,43,1,9,0,1
1606,1,36,0,0,0,1
1607,1,58,1,3,1,1
1609,1,57,0,12,0,1
1610,1,37,0,2,0,1
1611,1,44,0,6,0,1
1615,1,45,0,8,0,1
1617,1,26,0,13,0,1
1618,1,34,1,9,0,1
1619,1,25,0,0,1,1
1620,1,31,0,8,0,0
1621,1,43,0,1,1,1
1622,1,30,0,0,1,0
1623,1,50,1,0,1,0
1624,0,31,0,2,1,1
1625,0,33,1,7,0,0
1626,1,32,0,1,0,1
1627,0,46,1,0,1,0
1629,1,37,0,8,0,1
1630,0,32,1,6,0,1
1631,0,23,0,2,0,1
1632,1,21,1,0,0,1
1635,1,49,1,2,1,0
1636,1,55,1,3,0,1
1637,1,22,0,0,1,1
1639,0,31,0,7,0,1
1640,1,22,1,0,1,0
1641,1,28,0,5,0,0
1642,1,21,0,1,0,1
1644,1,30,0,21,0,1
1645,1,22,0,13,0,1
1646,1,35,0,23,0,1
1647,1,28,0,11,0,1
1648,1,24,0,1,1,1
1651,1,32,0,24,0,1
1653,0,24,0,1,0,1
1654,1,57,0,19,1,1
1656,1,28,1,0,1,1
1657,1,51,1,0,1,0
1659,1,26,0,0,1,0
1660,1,20,0,0,0,1
1661,1,25,0,6,0,0
1662,1,19,1,0,0,0
1663,1,49,1,1,1,1
1664,1,57,0,27,0,0
1665,0,27,0,0,1,0
1666,1,66,1,1,1,0
1668,1,21,1,0,1,1
1669,1,45,1,1,1,1
1671,1,37,0,24,0,1
1672,1,44,1,13,0,1
1673,1,64,0,0,1,1
1674,1,30,0,1,0,1
1675,1,61,0,1,1,0
1677,0,49,1,8,1,1
1678,1,23,0,0,0,1
1680,1,21,1,0,0,1
1681,0,30,1,2,0,1
1684,1,27,0,2,0,0
1685,1,38,1,1,0,0
1686,1,48,0,14,0,1
1687,1,26,1,0,1,0
1688,1,24,0,4,0,1
1689,0,28,0,2,0,1
1690,0,44,1,4,0,1
1691,1,23,1,2,0,1
1692,0,34,1,1,0,1
1693,1,20,1,1,0,1
1695,0,36,0,0,1,0
1696,1,58,1,1,1,1
1699,0,35,1,4,1,1
1700,1,23,0,3,0,1
1701,1,40,1,1,1,1
1704,1,23,0,3,0,0
1705,1,27,1,0,1,0
1706,0,26,0,3,0,1
1707,1,49,0,1,1,1
1710,1,47,0,6,1,1
1711,1,34,0,7,0,1
1713,1,27,0,10,0,1
1714,0,52,1,0,1,0
1715,1,26,0,0,1,0
1716,1,25,0,9,0,1
1717,1,51,0,1,1,1
1718,0,29,0,1,1,0
1720,1,46,1,0,1,1
1721,1,28,1,6,1,1
1722,1,57,0,0,1,1
1724,1,34,0,27,0,1
1725,1,27,0,3,1,1
1726,1,25,0,7,0,0
1727,1,31,1,1,0,1
1728,1,37,0,8,1,1
1729,1,51,0,0,1,1
1731,1,28,0,8,0,1
1732,1,56,1,4,1,1
1733,1,45,0,15,0,1
1734,1,26,1,7,0,1
1735,1,33,1,7,0,1
1736,1,23,1,0,1,0
1737,1,31,0,0,1,0
1740,1,32,1,0,1,1
1741,1,30,1,1,1,0
1743,1,66,1,1,1,1
1744,0,40,0,0,1,1
1745,1,59,0,4,1,0
1747,1,27,0,3,0,0
1748,1,22,0,0,1,1
1749,1,58,1,1,1,1
1751,1,29,1,2,1,1
1754,1,27,0,0,0,1
1756,1,24,1,0,0,1
1757,0,35,1,3,1,1
1759,1,29,0,7,0,1
1760,1,30,0,5,0,1
1761,1,23,0,1,1,1
1762,1,32,1,2,1,1
1763,1,22,1,2,0,1
1764,1,21,0,0,1,0
1765,0,43,1,0,1,0
1766,1,29,0,0,0,1
1767,1,43,0,1,1,1
1768,1,25,0,1,1,1
1769,1,47,1,0,1,0
1770,0,21,0,0,0,1
1772,1,54,1,0,1,0
1773,1,34,0,3,1,1
1774,0,28,0,2,1,0
1775,0,53,1,4,1,1
1776,1,54,0,0,1,0
1778,1,34,0,2,1,1
1780,0,60,1,0,1,1
1781,1,22,0,0,1,1
1782,1,51,0,3,0,1
1783,1,29,0,0,1,1
1786,1,28,0,5,0,0
1787,1,33,1,0,1,1
1788,1,43,1,4,1,0
1790,1,32,1,5,0,1
1791,0,35,0,0,1,1
1792,1,23,0,1,1,1
1796,1,25,0,4,0,1
1797,1,69,1,6,1,1
1801,1,47,0,23,0,1
1803,1,29,0,13,0,1
1805,1,26,0,9,0,1
1809,1,28,1,0,0,1
1810,1,48,1,1,1,0
1812,1,44,1,0,1,0
1813,1,42,0,7,0,0
1814,1,39,0,5,0,1
1816,1,55,1,0,0,0
1817,1,27,0,5,0,1
1818,0,31,1,0,0,0
1819,1,25,0,0,1,1
1820,1,32,1,6,0,0
1821,1,36,0,2,0,1
1822,1,21,0,3,0,1
1823,1,39,1,2,1,0
1824,0,26,0,0,1,0
1825,1,28,0,8,0,1
1826,1,67,1,2,1,0
1828,1,37,1,3,1,0
1829,1,23,0,2,0,0
1830,0,49,0,14,0,0
1831,1,32,1,9,0,0
1832,1,41,1,9,0,0
1833,1,25,0,1,1,0
1835,1,58,1,0,1,0
1836,1,44,0,19,0,0
1837,1,28,0,1,1,1
1838,0,39,0,0,0,1
1839,1,54,1,0,1,1
1841,1,43,1,0,1,0
1842,1,31,0,5,0,0
1843,1,30,0,11,0,1
1844,1,27,1,4,1,0
1845,1,28,0,0,1,0
1846,1,24,0,0,0,0
1847,1,43,1,0,1,0
1848,1,44,0,10,1,0
1852,1,23,0,0,1,1
1854,1,36,1,5,1,0
1855,1,27,1,1,0,1
1856,1,24,0,0,0,1
1857,1,66,1,0,1,0
1858,0,36,1,3,1,1
1860,1,23,1,1,1,1
1861,0,22,0,0,0,0
1863,1,56,0,4,1,1
1867,0,58,0,3,1,0
1868,1,24,1,3,0,0
1869,1,22,0,0,1,1
1870,1,39,1,0,1,0
1872,1,46,1,10,0,1
1873,1,38,1,1,1,1
1874,1,23,1,0,0,0
1876,1,25,0,0,0,1
1877,1,31,0,19,0,1
1878,0,25,0,1,1,0
1879,1,26,0,6,0,1
1880,1,25,0,2,0,1
1881,1,37,1,11,0,1
1882,1,36,0,0,1,1
1883,1,26,0,1,0,1
1885,1,35,0,7,1,1
1886,1,22,0,2,1,1
1887,1,25,1,0,1,1
1890,1,24,0,2,0,0
1891,1,21,0,0,0,1
1892,1,32,1,15,0,1
1893,1,33,0,2,1,0
1894,1,33,0,10,0,1
1896,1,29,1,0,1,0
1897,1,50,1,8,1,1
1899,1,33,0,14,0,1
1900,1,37,0,13,0,1
1901,1,27,0,9,0,1
1902,1,27,0,0,1,0
1905,1,58,0,1,1,1
1906,1,27,0,4,0,1
1908,1,28,1,1,0,1
1909,0,31,1,0,1,0
1911,1,24,0,3,0,0
1912,1,26,0,6,0,1
1913,1,43,1,0,1,0
1915,1,22,0,3,0,1
1916,1,23,0,0,0,1
1917,1,42,1,0,1,0
1919,1,30,0,18,0,0
1920,1,29,0,1,0,1
1921,1,38,1,2,1,1
1922,1,26,1,3,1,0
1924,1,51,0,5,0,0
1927,1,23,0,0,1,1
1928,1,34,0,7,0,1
1929,1,35,0,1,1,0
1930,1,22,1,0,1,1
1931,1,29,0,10,0,0
1932,1,40,0,0,1,1
1933,1,36,0,2,1,1
1934,1,26,0,8,0,1
1935,1,25,0,1,1,1
1936,1,69,1,0,1,0
1937,1,27,0,1,1,1
1938,1,20,1,0,0,1
1939,1,27,0,1,1,1
1940,0,24,0,6,0,0
1941,1,42,1,0,1,1
1942,1,25,1,1,1,1
1944,1,25,0,0,1,1
1945,1,22,0,0,1,1
1946,1,21,1,0,1,1
1947,1,30,0,1,1,0
1948,1,46,1,9,0,0
1949,1,26,0,2,0,0
1950,1,33,0,0,0,1
1951,1,40,0,1,1,0
1952,1,34,1,0,1,1
1953,1,22,1,1,1,1
1955,1,31,0,4,1,0
1956,1,59,1,3,1,0
1958,1,50,0,0,1,1
1960,1,57,0,8,0,1
1961,1,31,0,5,0,0
1963,1,44,0,9,0,1
1964,1,48,0,5,0,1
1965,0,25,1,0,1,1
1966,1,51,0,5,1,0
1967,1,50,1,0,1,1
1968,1,57,1,2,1,1
1969,1,55,1,0,1,0
1970,1,59,0,4,1,1
1971,0,42,0,0,1,1
1975,1,32,0,21,0,1
1977,1,42,0,1,1,1
1978,1,29,0,8,0,1
1979,1,21,0,1,0,1
1982,1,58,1,0,1,0
1983,1,22,0,1,0,1
1984,1,46,1,1,1,0
1985,1,50,1,0,1,0
1986,1,46,0,2,0,1
1987,0,44,0,11,0,1
1988,1,35,0,4,0,0
1989,1,30,0,14,0,1
1990,1,42,0,2,0,1
1991,1,46,0,5,1,1
1992,1,42,0,0,0,1
1994,1,29,1,7,0,1
1995,1,32,0,8,1,1
1997,0,33,0,1,1,0
1998,1,25,1,4,1,1
1999,0,33,0,0,1,0
2002,1,35,1,1,1,1
2003,1,56,0,1,1,1
2004,1,38,1,0,1,0
2005,0,40,0,4,1,0
2007,1,28,0,4,1,1
2008,1,51,0,0,1,0
2009,1,35,0,2,1,0
2010,1,61,0,5,1,1
2011,1,25,0,0,1,1
2012,1,25,0,4,0,1
2013,1,26,0,0,0,0
2014,1,42,1,1,1,0
2015,0,25,0,1,1,1
2016,1,26,0,13,0,0
2017,1,31,0,9,0,1
2018,1,35,1,1,1,1
2020,1,34,1,0,1,1
2022,0,33,1,1,1,0
2023,1,30,0,3,1,1
2024,0,50,0,7,1,0
2025,1,21,0,0,0,1
2027,1,31,0,2,0,1
2028,0,23,0,0,1,0
2029,1,25,0,1,0,1
2030,0,24,1,1,0,1
2031,1,31,0,13,0,0
2032,1,60,0,0,1,1
2033,1,30,0,2,1,1
2035,1,46,1,0,1,0
2036,1,21,1,0,1,0
2038,1,35,0,0,0,1
2042,1,23,0,1,0,1
2043,1,23,0,3,0,1
2044,1,28,0,2,1,0
2046,1,46,1,2,1,0
2047,1,56,0,1,1,1
2051,1,24,0,1,1,0
2053,0,33,1,0,1,0
2054,1,48,1,2,0,0
2055,1,33,0,11,0,1
2059,1,30,0,7,0,1
2061,0,43,1,7,0,1
2062,1,32,1,0,1,1
2065,1,49,1,4,1,1
2066,1,24,1,0,1,1
2067,1,26,0,1,0,1
2068,1,42,1,0,1,1
2069,1,22,0,1,0,1
2071,1,29,1,7,0,0
2072,1,39,1,0,1,0
2073,1,27,0,13,0,1
2074,1,38,1,2,0,1
2075,1,20,1,0,1,1
2076,1,25,0,4,0,1
2077,1,53,1,0,1,0
2078,0,27,0,0,0,0
2080,1,50,1,1,1,0
2081,1,41,0,4,0,1
2083,1,22,1,5,0,1
2084,1,22,1,0,0,1
2085,1,25,0,2,0,1
2086,1,42,0,1,1,1
2090,1,24,0,0,1,1
2091,1,37,0,4,1,1
2092,1,37,1,0,1,0
2095,1,35,0,1,1,1
2096,0,24,1,0,0,1
2098,1,49,1,2,1,0
2099,1,38,0,9,0,1
2101,0,30,0,0,1,0
2102,1,22,0,3,0,1
2103,1,25,0,0,0,1
2105,1,52,1,0,1,0
2106,1,26,1,0,1,1
2109,1,45,1,9,0,1
2110,1,20,0,0,0,1
2111,1,29,0,4,0,1
2112,1,43,1,1,0,1
2113,1,26,1,2,0,1
2114,0,46,0,4,1,1
2115,0,46,0,0,1,1
2117,1,29,0,12,0,1
2118,1,41,1,0,1,0
2120,0,25,0,5,0,1
2121,1,23,0,2,0,1
2123,1,30,1,0,1,0
2124,1,34,1,1,0,1
2125,1,70,1,11,1,1
2126,1,52,1,2,1,1
2127,1,51,0,4,1,0
2129,1,55,0,21,0,1
2130,0,49,1,1,1,1
2132,0,47,1,0,1,1
2133,1,27,0,0,1,0
2134,1,25,1,5,0,0
2135,1,21,0,1,0,1
2136,1,37,0,26,0,1
2137,1,21,0,1,0,1
2138,1,21,0,0,0,1
2139,1,25,0,4,0,1
2140,0,27,0,3,0,1
2141,1,30,1,3,1,1
2142,1,70,1,0,1,0
2143,1,37,1,11,0,1
2144,1,46,0,5,0,1
2147,1,43,0,18,1,1
2148,1,38,0,15,0,1
2149,1,29,0,0,1,1
2150,1,37,0,8,1,0
2152,0,27,1,0,1,1
2155,1,31,1,6,0,0
2156,1,29,0,3,1,1
2158,0,30,0,0,1,0
2159,0,25,1,2,0,1
2160,1,40,0,3,1,1
2162,1,33,1,1,1,0
2163,1,26,1,5,0,1
2165,1,61,1,1,1,0
2166,1,30,1,2,1,1
2167,1,62,1,0,1,0
2168,0,27,1,4,0,0
2169,1,48,1,9,0,1
2170,0,40,1,0,1,1
2171,1,24,1,0,1,1
2172,1,22,0,0,1,1
2173,1,30,0,4,0,0
2174,1,63,1,0,1,0
2176,1,33,0,4,0,1
2178,1,43,1,0,1,0
2179,1,26,0,3,0,1
2180,1,51,0,1,1,1
2181,1,39,1,3,1,1
2183,1,32,0,14,0,1
2184,1,22,0,0,0,0
2185,1,59,1,0,1,1
2186,1,38,0,37,0,0
2187,1,23,0,2,0,1
2188,1,42,0,0,1,0
2190,1,38,0,2,0,1
2191,0,34,1,2,1,1
2192,0,36,0,7,1,1
2194,1,36,0,0,1,0
2195,1,31,0,1,1,1
2196,0,28,0,3,1,1
2197,1,28,0,1,1,1
2199,1,43,0,0,1,1
2200,1,40,0,1,1,1
2201,1,31,0,15,0,1
2202,1,54,0,6,0,1
2204,1,24,0,17,0,1
2206,1,21,0,1,0,1
2208,1,22,0,0,1,1
2213,0,45,0,1,1,1
2214,1,29,0,1,1,0
2215,1,46,0,10,0,1
2216,1,21,1,1,0,1
2218,1,35,1,6,0,1
2219,1,52,0,1,1,0
2220,1,48,1,0,1,0
2221,0,29,0,9,0,0
2222,1,48,1,0,1,0
2223,1,31,0,10,0,1
2224,1,21,1,3,0,1
2226,1,47,0,0,0,0
2228,1,21,0,3,0,1
2229,1,35,0,13,0,1
2230,1,46,0,3,1,0
2231,1,34,0,5,1,1
2232,1,52,0,2,1,1
2234,1,21,1,0,0,0
2235,1,53,1,1,1,0
2236,0,19,1,0,1,1
2237,1,22,0,0,0,0
2238,1,45,0,1,1,1
2239,0,27,1,0,1,1
2240,1,25,1,0,1,0
2241,1,30,1,0,1,1
2242,1,31,0,2,0,1
2243,1,28,1,3,1,1
2244,1,36,0,3,1,0
2245,1,27,0,7,0,1
2246,1,42,0,1,1,1
2247,1,35,1,0,0,1
2248,0,33,1,2,1,1
2250,1,25,0,21,0,1
2251,0,42,1,0,1,0
2252,1,21,0,0,0,1
2253,0,28,0,0,1,0
2254,1,27,0,25,0,1
2255,0,21,1,0,0,1
2256,1,26,1,0,0,0
2257,1,36,1,0,1,1
2259,1,49,1,0,0,1
2261,1,44,1,0,1,1
2262,1,28,1,1,1,0
2264,0,35,0,12,0,1
2267,1,34,0,3,1,1
2268,1,45,0,15,1,1
2269,1,28,0,9,1,1
2270,0,25,0,1,1,1
2271,1,21,0,1,0,0
2272,1,48,0,1,1,1
2273,1,37,1,1,1,0
2274,1,24,0,3,0,1
2275,1,37,1,1,1,0
2276,1,39,1,1,1,1
2277,1,24,1,1,0,1
2280,1,23,0,1,1,1
2282,1,43,1,5,0,1
2283,1,28,0,6,0,0
2285,1,53,0,1,1,0
2286,0,27,0,2,1,0
2287,1,39,1,0,1,0
2288,1,47,0,22,0,1
2289,1,28,0,4,1,1
2291,1,36,1,2,1,1
2292,0,24,0,1,0,1
2294,1,23,0,3,0,1
2295,1,26,0,2,1,1
2296,1,31,0,7,1,1
2297,0,30,0,14,0,1
2298,1,25,1,2,0,0
2299,1,24,0,6,0,1
2301,1,26,0,2,1,0
2304,0,20,0,0,0,1
2306,1,23,1,0,1,1
2307,1,26,0,5,0,1
2308,1,40,1,4,1,0
2312,1,19,0,1,0,1
2313,1,53,1,1,1,1
2315,0,24,0,0,1,1
2317,0,33,1,2,1,1
2318,1,26,1,8,0,1
2320,1,32,1,2,1,1
2321,1,25,1,0,1,1
2322,1,21,0,1,1,1
2323,1,38,0,3,0,1
2324,1,23,1,0,1,1
2326,1,20,1,0,0,1
2327,0,39,1,4,1,1
2328,1,24,0,1,1,1
2330,1,49,0,3,1,1
2331,1,31,0,7,0,1
2332,1,20,0,1,0,1
2333,1,28,1,0,1,0
2334,1,67,1,3,1,1
2338,1,52,0,0,1,1
2339,1,45,0,17,0,1
2340,1,27,0,8,0,1
2341,1,22,1,1,0,1
2343,1,40,1,0,1,0
2344,1,30,1,1,0,0
2345,1,42,0,1,1,1
2346,1,24,0,2,1,1
2347,1,46,1,4,1,1
2348,1,38,0,4,1,1
2351,1,26,1,0,0,0
2352,1,54,1,1,1,0
2354,1,61,1,1,1,1
2355,1,51,0,1,1,0
2356,1,57,1,0,1,1
2357,1,24,1,3,0,0
2358,1,34,0,1,1,1
2360,0,28,0,10,0,0
2361,1,35,0,10,0,0
2362,1,30,0,6,0,1
2364,1,44,0,0,1,1
2366,1,61,1,10,0,1
2367,1,26,0,1,0,1
2368,1,48,0,10,0,1
2369,1,42,0,4,1,0
2370,1,38,1,10,0,1
2372,0,53,1,0,1,0
2373,1,26,0,3,0,0
2374,1,22,0,1,0,1
2375,1,50,1,0,0,1
2376,1,44,1,16,0,0
2377,1,24,0,4,0,1
2378,1,21,0,0,0,1
2379,1,50,1,0,1,1
2380,0,36,1,0,1,0
2381,1,39,1,0,1,1
2383,0,54,0,7,0,1
2384,1,29,0,0,1,0
2385,1,26,1,0,0,0
2386,1,41,0,3,1,1
2387,1,23,0,1,0,1
2388,1,34,1,0,1,0
2389,1,31,1,11,0,1
2390,1,20,0,0,1,1
2391,1,49,0,10,0,1
2392,1,26,0,4,0,1
2393,1,28,0,1,1,1
2394,1,26,0,0,1,1
2395,1,55,0,1,1,1
2396,1,22,0,0,0,0
2397,0,26,0,0,1,0
2401,1,58,0,16,0,1
2402,1,28,0,4,0,1
2403,1,33,0,8,0,1
2404,0,31,0,0,1,0
2405,1,26,0,1,0,0
2408,1,34,1,0,1,0
2410,0,32,0,0,1,1
2411,1,37,0,9,0,1
2412,1,50,0,1,0,1
2413,1,35,1,1,1,1
2414,0,47,1,0,1,0
2415,0,52,0,8,0,1
2416,1,26,0,5,0,1
2418,1,45,0,13,1,1
2420,1,41,0,8,1,1
2421,1,24,0,0,1,0
2422,1,21,0,1,0,1
2423,1,54,1,0,1,0
2424,1,49,1,0,1,1
2425,1,42,1,1,1,1
2426,1,21,0,1,1,1
2428,1,46,1,5,0,1
2429,1,74,1,0,1,0
2432,0,39,0,1,1,1
2433,0,38,0,0,1,1
2434,1,19,0,1,0,1
2435,1,28,1,0,1,1
2437,1,25,0,1,0,1
2438,1,53,1,1,1,0
2440,1,23,0,2,0,1
2441,1,55,1,33,0,1
2442,0,64,1,1,1,1
2443,1,23,0,1,0,0
2445,1,23,0,4,0,1
2448,1,34,0,0,1,1
2450,1,26,0,1,1,0
2451,1,44,1,4,1,1
2452,0,27,1,0,1,1
2453,1,28,1,14,0,1
2454,1,55,1,1,1,0
2456,1,36,0,15,0,1
2458,1,23,0,1,1,1
2459,1,56,0,1,1,0
2460,1,27,1,2,0,1
2461,1,37,1,1,0,0
2462,1,32,0,1,0,1
2463,1,41,0,18,0,0
2464,1,22,0,1,0,1
2465,1,37,1,1,1,1
2466,1,45,0,3,1,0
2467,0,31,0,14,0,1
2468,1,42,0,7,0,1
2469,1,26,0,20,0,1
2470,1,33,1,0,0,1
2471,1,22,1,0,1,0
2473,0,36,0,1,1,0
2474,1,54,1,0,1,0
2475,1,25,0,5,0,1
2476,1,24,1,3,0,1
2478,1,61,1,0,1,0
2479,0,42,1,0,1,0
2480,1,28,1,1,1,0
2481,1,27,0,1,0,0
2482,1,24,1,2,1,0
2484,1,32,0,16,0,1
2485,1,38,1,0,1,1
2486,1,21,1,1,1,0
2487,1,27,0,1,0,1
2488,1,39,1,0,1,1
2489,1,29,1,0,1,1
2490,1,29,1,1,1,1
2492,1,36,1,1,1,1
2493,1,46,0,0,0,1
2494,1,44,0,7,0,1
2495,1,27,0,0,1,0
2496,1,27,0,8,0,1
2497,1,61,1,0,1,0
2498,1,47,0,0,1,0
2499,1,27,0,1,1,0
2500,1,28,1,0,1,1
2501,0,31,1,1,0,0
2502,1,26,1,9,1,0
2503,1,53,0,2,1,1
2504,1,26,0,1,0,1
2505,1,25,0,2,1,1
2507,0,21,0,4,0,0
2508,1,23,0,1,1,0
2510,0,45,0,2,1,1
2511,1,27,0,2,0,0
2514,0,26,0,0,1,0
2515,1,21,1,0,0,1
2517,0,62,1,0,1,0
2518,1,48,1,0,1,1
2519,1,53,0,1,1,0
2520,1,62,0,3,1,0
2521,1,28,0,5,0,1
2522,1,56,1,1,1,1
2525,1,22,0,2,0,1
2526,1,26,0,5,0,1
2527,1,35,0,4,0,0
2528,1,22,0,1,1,1
2530,0,37,0,7,1,1
2531,0,32,0,0,1,1
2532,0,33,0,3,0,1
2534,1,53,1,0,1,0
2535,1,32,1,0,1,0
2536,1,26,1,0,1,0
2537,1,61,1,0,1,0
2538,1,21,0,0,0,0
2539,1,69,0,22,0,0
2540,1,26,0,0,1,0
2541,1,30,0,9,0,1
2542,1,21,1,1,1,1
2543,1,41,1,0,1,0
2544,1,45,0,0,0,1
2545,1,31,0,10,0,1
2546,1,22,1,0,1,1
2547,0,54,1,0,1,1
2548,1,50,1,2,1,0
2551,0,21,0,0,0,1
2553,1,30,1,0,1,1
2555,1,30,0,11,0,1
2556,1,26,1,5,1,0
2558,0,59,0,0,1,0
2559,1,29,0,13,0,1
2561,1,30,1,13,0,1
2562,1,25,0,5,0,0
2565,1,22,0,0,1,1
2566,1,41,0,8,1,1
2569,0,37,0,13,0,1
2570,1,22,0,0,1,1
2571,1,19,0,0,1,1
2572,1,45,1,2,1,0
2573,0,33,0,5,0,1
2574,1,52,0,7,0,1
2575,0,21,0,0,0,1
2576,1,43,0,6,0,0
2577,1,33,1,3,0,1
2578,1,26,0,3,0,1
2579,1,37,1,0,1,0
2580,1,38,0,1,1,1
2582,1,27,0,1,1,1
2584,1,21,0,1,0,1
2585,1,38,1,3,0,1
2586,1,37,1,0,1,0
2588,1,44,1,0,1,1
2589,1,30,0,0,1,1
2591,1,49,1,1,1,1
2592,1,67,1,0,1,0
2593,1,59,0,14,0,1
2594,1,21,0,1,0,1
2595,1,31,1,6,0,0
2596,0,50,1,2,1,1
2597,1,30,0,7,1,1
2598,1,28,1,1,1,0
2599,1,48,0,7,0,1
2600,1,55,1,0,1,0
2602,1,42,1,0,1,0
2603,1,34,0,0,0,0
2604,1,43,0,4,0,0
2605,1,44,0,0,1,1
2608,1,25,1,2,0,1
2609,0,32,0,0,1,0
2616,1,24,0,1,1,1
2617,1,34,0,0,0,1
2618,1,48,0,2,1,1
2619,1,41,0,1,1,1
2620,1,26,0,12,0,0
2621,1,42,0,0,0,1
2622,1,29,0,0,0,0
2623,1,26,1,0,1,0
2624,0,27,0,1,1,1
2625,1,35,1,4,1,0
2626,1,54,1,1,1,1
2628,1,20,0,0,0,1
2629,1,27,1,0,0,1
2630,1,21,0,1,0,1
